Wavelength	1st	2nd	3rd	4th	5th	6th	7th	8th	9th
200.0	0.5643821021812384	0.005381401928043111	4.099318489286539e-06	0.0038659201394729077	7.360745701730011e-10	1.8276807663427548e-08	0.0038659201394728076	0.13533528323661279	0.0038659201394728076
201.00166944908182	0.5771320402379384	0.00611263869984586	4.8414208122607545e-06	0.004318632999301001	1.0180250615533174e-09	2.231836677432517e-08	0.004318632999300873	0.14650889766983427	0.004318632999300873
202.0033388981636	0.5895471748334038	0.006932103940932711	5.711495543592142e-06	0.004818984812878448	1.4044483138387109e-09	2.7223272246917114e-08	0.004818984812878285	0.15835062143912176	0.004818984812878285
203.00500834724542	0.601597063698235	0.007848821399225643	6.730428110441963e-06	0.0053713153967313455	1.9326966262538184e-09	3.316913070624329e-08	0.005371315396731137	0.1708749302119382	0.005371315396731137
204.0066777963272	0.6132522860141796	0.008872517584013986	7.922301663878137e-06	0.005980280974034297	2.652969468728054e-09	4.036860117081181e-08	0.0059802809740340315	0.18409404278210248	0.0059802809740340315
205.00834724540903	0.6244846239300866	0.010013648256052617	9.314850713723622e-06	0.006650868512415506	3.6325487499496146e-09	4.907600022236116e-08	0.0066508685124151675	0.19801766124236664	0.0066508685124151675
206.01001669449082	0.6352672420543571	0.01128342217761977	1.093997326433654e-05	0.0073884097506281676	4.961366234327867e-09	5.959508822378534e-08	0.007388409750627737	0.2126527117954413	0.007388409750627737
207.01168614357263	0.6455748636423555	0.012693821523023145	1.283430808877558e-05	0.00819859477991065	6.7593005518837154e-09	7.228823530404958e-08	0.008198594779910104	0.22800308884014636	0.008198594779910104
208.01335559265442	0.6553839421876667	0.014257618312352192	1.5039884397877546e-05	0.009087485034400242	9.185712842898255e-09	8.758719691946979e-08	0.009087485034399548	0.2440694051327294	0.009087485034399548
209.01502504173624	0.6646728271269398	0.015988386197429687	1.760485181844458e-05	0.010061525533595118	1.2451870846780157e-08	1.0600576433238243e-07	0.010061525533594236	0.2608487509619275	0.010061525533594236
210.01669449081803	0.673421922379471	0.017900506899917352	2.058429929060266e-05	0.01112755620869957	1.6837088163683405e-08	1.2815459588213774e-07	0.011127556208698453	0.278334465386031	0.011127556208698453
211.01836393989984	0.6816138364647832	0.020009170578442887	2.404117222753627e-05	0.012292822133887327	2.2709626958266855e-08	1.5475858107952788e-07	0.012292822133885911	0.2965159226574053	0.012292822133885911
212.02003338898163	0.6892335229741661	0.02233036938551191	2.8047298049676534e-05	0.013564982473221684	3.0553688764566736e-08	1.8667714201699112e-07	0.013564982473219892	0.3153783370010544	0.013564982473219892
213.02170283806345	0.6962684102153724	0.024880883466962017	3.268453100781125e-05	0.014952117944350694	4.100416157601088e-08	2.249279361032574e-07	0.014952117944348427	0.33490258891587515	0.014952117944348427
214.02337228714524	0.7027085189031314	0.027678258657889768	3.804602804245867e-05	0.016462736591315374	5.489121675105449e-08	2.707144915233122e-07	0.016462736591312508	0.3550650761274361	0.016462736591312508
215.02504173622705	0.7085465668315478	0.030740775140420673	4.42376682863415e-05	0.018105777651058814	7.329737389393786e-08	3.254583829887579e-07	0.018105777651055196	0.3758375922373923	0.018105777651055196
216.02671118530884	0.7137780595373203	0.03408740635140603	5.1379629698016e-05	0.01989061329168321	9.763029642879462e-08	3.9083664125379925e-07	0.019890613291678644	0.39718723598528266	0.019890613291678644
217.02838063439066	0.7184013660445457	0.03773776746308709	5.960813721176084e-05	0.02182704799537357	1.297153693498591e-07	4.6882518658425543e-07	0.02182704799536781	0.41907635386265885	0.02182704799536781
218.03005008347245	0.7224177788720209	0.04171205280780152	6.907739769456003e-05	0.023925315355378327	1.719130719742516e-07	5.617491850205424e-07	0.023925315355371072	0.4414625185969043	0.023925315355371072
219.03171953255426	0.7258315575817458	0.046030961679668476	7.99617379071073e-05	0.026196072054715788	2.2726732540386166e-07	6.723413480964969e-07	0.026196072054706657	0.46429854575337853	0.026196072054706657
220.03338898163605	0.7286499552519679	0.050715612022428386	9.245796256241454e-05	0.028650388794548606	2.996924048503145e-07	8.038093329761091e-07	0.028650388794537122	0.48753255039085985	0.028650388794537122
221.03505843071787	0.7308832273687866	0.05578744160365437	0.00010678795045169828	0.031299737942638975	3.9420770457638026e-07	9.599135521490557e-07	0.03129973794262454	0.5111080453489298	0.03129973794262454
222.03672787979966	0.7325446227461446	0.06126809638155301	0.0001232015074499328	0.03415597767713994	5.172316775402333e-07	1.1450568713669747e-06	0.034155977677121814	0.5349640823497679	0.034155977677121814
223.03839732888147	0.7336503562040577	0.06717930589152028	0.00014197949600851665	0.03723133240838279	6.769486988587928e-07	1.364387862972542e-06	0.03723133240836005	0.5590354366647042	0.03723133240836005
224.04006677796326	0.7342195628582012	0.07354274561518084	0.00016343726147375796	0.04053836927143234	8.837654845621617e-07	1.6239194908153535e-06	0.040538369271403835	0.5832528356322398	0.040538369271403835
225.04173622704508	0.734274233999501	0.08037988644427786	0.00018792837621965083	0.04408997049517035	1.1508771042387225e-06	1.9306653342775175e-06	0.04408997049513464	0.6075432308245199	0.04408997049513464
226.04340567612687	0.7338391346691644	0.0877118315145825	0.00021584872313201858	0.047899301469632914	1.4949666342894805e-06	2.2927957143220273e-06	0.04789930146958822	0.6318301131492651	0.04789930146958822
227.04507512520868	0.7329417031616379	0.09555914085983033	0.000247640940407268	0.0519797743524023	1.937067190332525e-06	2.7198163657543173e-06	0.05197977435234641	0.6560338696507019	0.05197977435234641
228.04674457429047	0.7316119328142908	0.1039416445210224	0.0002837992499094681	0.05634500707708637	2.503620541425868e-06	3.2227726089098803e-06	0.05634500707701653	0.6800721802429954	0.05634500707701653
229.0484140233723	0.7298822365672337	0.11287824494050075	0.0003248746914394656	0.061008777652384584	3.227772838722923e-06	3.8144823126256383e-06	0.06100877765229738	0.7038604520808068	0.06100877765229738
230.0500834724541	0.7277872948986307	0.1223867096708372	0.0003714807851824773	0.06598497366892374	4.150955283905117e-06	4.509801310487157e-06	0.06598497366881495	0.7273122887514983	0.06598497366881495
231.0517529215359	0.7253638878592401	0.13248345563340236	0.00042429964428808507	0.07128753696295667	5.324805916669856e-06	5.325925335808536e-06	0.07128753696282107	0.7503399909703489	0.07128753696282107
232.05342237061768	0.7226507120438574	0.14318332636773315	0.00048408855896892006	0.07693040342106326	6.813498212894623e-06	6.282732979369955e-06	0.07693040342089438	0.7728550849818127	0.07693040342089438
233.0550918196995	0.719688183446006	0.15449936391756686	0.0005516870726507363	0.08292743794809271	8.696552948452369e-06	7.403174649288482e-06	0.08292743794788254	0.7947688744243173	0.08292743794788254
234.05676126878132	0.7165182272448583	0.16644257719942912	0.0006280245695350002	0.08929236466158308	1.1072221881781892e-05	8.713713026071911e-06	0.08929236466132176	0.8159930110110198	0.08929236466132176
235.0584307178631	0.7131840556692746	0.17902170889156901	0.000714128391412711	0.09603869241959814	1.4061545310990541e-05	1.0244821059258797e-05	0.09603869241927349	0.836440079021509	0.09603869241927349
236.0601001669449	0.7097299351723596	0.1922430030612778	0.0008111324996615988	0.10317963583508993	1.7813200518119873e-05	1.203154414620307e-05	0.1031796358346869	0.8560241882964017	0.1031796358346869
237.0617696160267	0.7062009442305079	0.20610997591359012	0.0009202866960347161	0.11072803197824811	2.250927454654508e-05	1.4114133769348704e-05	0.1107280319777482	0.8746615701841225	0.1107280319777482
238.06343906510853	0.7026427231529868	0.22062319219038198	0.0010429664130736174	0.1186962530184946	2.8372112654008167e-05	1.653876054623453e-05	0.11869625301787502	0.8922711707121096	0.11869625301787502
239.0651085141903	0.6991012173512998	0.23578004987231901	0.0011806830817214376	0.12709611510944557	3.5672413085268763e-05	1.9358315366521515e-05	0.12709611510867833	0.9087752351475054	0.12709611510867833
240.0667779632721	0.695622415571485	0.2515745759334315	0.0013350950799391394	0.13593878387286293	4.473875940123402e-05	2.2633308052095556e-05	0.1359387838719136	0.9240998780783388	0.1359387838719136
